Flight,"Apollo Bay, VIC",,,,,,,,,,,,,
Start,18 Sep 2019 6:30 AM AEST,,,,,,,,,,,,,
End,18 Sep 2019 10:42 AM AEST,,,,,,,,,,,,,
Duration,4:12,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Geographic coordinate reference system,GDA94,,,,,,,,,,,,,
Geographic EPSG code,4939,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Projected coordinate reference system,GDA94 / MGA zone 54,,,,,,,,,,,,,
Projected EPSG code,28354,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Vertical coordinate reference system,AHD height,,,,,,,,,,,,,
Vertical EPSG code,5711,,,,,,,,,,,,,
Geoid model,ausgeoid09,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Angular unit,decimal degrees,,,,,,,,,,,,,
Distance unit,metres,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Point number,Global ID,Aeropoint ID,Capture Start,Capture End,Latitude,Longitude,Ellipsoid height,Easting,Northing,Orthometric height,X variance (mm),Y variance (mm),Z variance (mm),Baseline distance (km)
1,ac8d662f90,8358857,18 Sep 2019 6:30 AM AEST,18 Sep 2019 7:56 AM AEST,-38.74220408,143.6753331,1.887,732518.573,5708432.021,1.696,0.8,1.2,1.6,4.65
2,ac813ace1f,2322147,18 Sep 2019 6:36 AM AEST,18 Sep 2019 8:24 AM AEST,-38.74595297,143.6721207,4.639,732227.174,5708024.082,4.47,1.1,1.5,1.2,4.15
3,ac796826e4,8339825,18 Sep 2019 6:41 AM AEST,18 Sep 2019 8:20 AM AEST,-38.75270141,143.669989,1.895,732020.026,5707280.466,1.769,0.8,0.4,1,3.4
4,ac451dfb24,4893525,18 Sep 2019 6:41 AM AEST,18 Sep 2019 8:20 AM AEST,-38.75256191,143.6700398,1.623,732024.889,5707295.821,1.497,0.4,0.8,2.1,3.42
5,ac6281c4fb,8363879,18 Sep 2019 6:49 AM AEST,18 Sep 2019 8:15 AM AEST,-38.75823087,143.6741477,1.547,732363.527,5706656.176,1.46,0.6,0.3,0.7,3.09
6,ac0ea8d041,8339996,18 Sep 2019 6:49 AM AEST,18 Sep 2019 8:14 AM AEST,-38.75826448,143.6738657,1.695,732338.907,5706653.162,1.607,3.7,3.5,10,3.07
7,ac81e9a5c3,2322147,18 Sep 2019 9:01 AM AEST,18 Sep 2019 10:42 AM AEST,-38.76261784,143.6755997,1.587,732475.467,5706165.563,1.528,1.4,0.4,2.3,2.82
8,acfeea351d,4893525,18 Sep 2019 9:06 AM AEST,18 Sep 2019 10:07 AM AEST,-38.76716311,143.6670984,2.092,731721.983,5705682.652,2.055,2.3,1.1,2.8,1.94
9,ac4319e914,8339825,18 Sep 2019 9:06 AM AEST,18 Sep 2019 10:07 AM AEST,-38.76709238,143.6671338,2.361,731725.283,5705690.413,2.323,4.3,3.2,12.2,1.95
10,ac3a1dec4f,8363879,18 Sep 2019 9:10 AM AEST,18 Sep 2019 10:18 AM AEST,-38.77157645,143.6643398,5.344,731467.998,5705199.791,5.332,4.7,2,5.3,1.43
11,ac78f1a367,8339996,18 Sep 2019 9:10 AM AEST,18 Sep 2019 10:18 AM AEST,-38.77168245,143.6643244,5.175,731466.316,5705188.065,5.163,2.9,1.4,4,1.42
12,ac97e3deaa,8358857,18 Sep 2019 9:13 AM AEST,18 Sep 2019 10:14 AM AEST,-38.77657531,143.6642495,1.608,731443.978,5704645.182,1.626,2.1,0.6,1.4,1.15
13,ac564bb919,8363879,18 Sep 2019 8:17 AM AEST,18 Sep 2019 9:08 AM AEST,-38.75582257,143.6705049,-46.075,732054.75,5706932.731,-46.18,164078,241621.7,118273.4,3.12
